start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.010000000000000002,4,10,,0.03223856171232958,0.044010816955566405,9865,98.65,21.47839093208313
0.021544346900318843,0,1,,0.31998482190767924,0.11854235725402833,9641,96.41,33.029852867126465
0.021544346900318843,0,2,,0.09668529943227767,0.07614941520690918,9762,97.62,21.506760120391846
0.021544346900318843,0,3,,0.06107537717546026,0.08636860389709472,9705,97.05,21.69172692298889
0.021544346900318843,0,4,,0.04584246153583129,0.047618691062927244,9838,98.38,21.728978395462036
0.021544346900318843,0,5,,0.03573300283042093,0.03876404504776001,9865,98.65,21.514013051986694
0.021544346900318843,0,6,,0.029028068648278713,0.036056641149520875,9872,98.72,21.593876123428345
0.021544346900318843,0,7,,0.024075122104771435,0.03920088472366333,9860,98.6,21.809768199920654
0.021544346900318843,0,8,,0.0195124118303104,0.03519660954475403,9875,98.75,21.68863606452942
0.021544346900318843,0,9,,0.016014879869235058,0.034466024017333986,9883,98.83,21.70037841796875
0.021544346900318843,0,10,,0.013878675993842383,0.03359732642173767,9881,98.81,21.59104037284851
0.021544346900318843,1,1,,0.30823205183148383,0.18746916198730468,9410,94.1,33.150736570358276
0.021544346900318843,1,2,,0.11030345612267653,0.09547813758850097,9711,97.11,21.589070558547974
0.021544346900318843,1,3,,0.06985872097586592,0.07434718856811523,9756,97.56,21.509974241256714
0.021544346900318843,1,4,,0.051733367116997636,0.04637470064163208,9843,98.43,21.862839221954346
0.021544346900318843,1,5,,0.039691474474221465,0.041122097778320314,9857,98.57,21.673131227493286
0.021544346900318843,1,6,,0.03225143743672718,0.04432315526008606,9847,98.47,21.5765323638916
0.021544346900318843,1,7,,0.02703283983891209,0.042328232192993163,9852,98.52,21.513080596923828
0.021544346900318843,1,8,,0.02203035645323495,0.04527758464813232,9860,98.6,21.54343056678772
0.021544346900318843,1,9,,0.017900211001404872,0.03876321697235107,9874,98.74,21.53619074821472
0.021544346900318843,1,10,,0.01555053531867452,0.059860389137268065,9807,98.07,21.51739239692688
0.021544346900318843,2,1,,0.33026690731048586,0.14700183486938476,9563,95.63,34.34171175956726
0.021544346900318843,2,2,,0.10861548161804677,0.07853162231445313,9759,97.59,21.69522476196289
0.021544346900318843,2,3,,0.0674129038674136,0.06083151903152466,9804,98.04,21.595357179641724
0.021544346900318843,2,4,,0.04950743800935646,0.049130630683898925,9832,98.32,21.657800912857056
0.021544346900318843,2,5,,0.0384609885973235,0.043615242767333987,9858,98.58,21.507778882980347
0.021544346900318843,2,6,,0.03160348006431014,0.03997568597793579,9859,98.59,21.62558102607727
0.021544346900318843,2,7,,0.02537789927975585,0.05176174659729004,9832,98.32,21.65103030204773
0.021544346900318843,2,8,,0.02158647194529573,0.037357995414733884,9878,98.78,21.53622317314148
0.021544346900318843,2,9,,0.018001139300549404,0.03579002544879913,9872,98.72,21.61469054222107
0.021544346900318843,2,10,,0.015081540022200595,0.04218037433624268,9853,98.53,21.57599449157715
0.021544346900318843,3,1,,0.3171748288770517,0.16140416564941407,9500,95.0,33.43097758293152
0.021544346900318843,3,2,,0.09941391068895658,0.07166782550811768,9775,97.75,21.839637279510498
0.021544346900318843,3,3,,0.06239348642950256,0.055860186195373536,9817,98.17,21.816439151763916
0.021544346900318843,3,4,,0.047044531906147796,0.050708429622650146,9819,98.19,22.04407262802124
0.021544346900318843,3,5,,0.0365837519466877,0.05771645402908325,9811,98.11,21.961013078689575
0.021544346900318843,3,6,,0.0299276472851634,0.03712383012771606,9879,98.79,21.853703498840332
0.021544346900318843,3,7,,0.02357624445532759,0.03954992837905884,9865,98.65,21.95272421836853
0.021544346900318843,3,8,,0.019988942563192297,0.03611754851341248,9880,98.8,22.371652841567993
0.021544346900318843,3,9,,0.016631581899958354,0.03915694179534912,9862,98.62,21.857536792755127
0.021544346900318843,3,10,,0.014124806541654591,0.04122495174407959,9877,98.77,21.919572353363037
0.021544346900318843,4,1,,0.3170233714222908,0.15704475631713868,9529,95.29,33.3606538772583
0.021544346900318843,4,2,,0.10507224644273519,0.08251851959228515,9736,97.36,21.788679599761963
0.021544346900318843,4,3,,0.06544965561032295,0.057635672569274904,9804,98.04,21.701817750930786
0.021544346900318843,4,4,,0.04753198513388634,0.05769112148284912,9813,98.13,21.762176990509033
0.021544346900318843,4,5,,0.03727133679327865,0.046398914337158204,9843,98.43,21.7467303276062
0.021544346900318843,4,6,,0.030364353450760245,0.03984511785507202,9863,98.63,21.944732904434204
0.021544346900318843,4,7,,0.02427345371786505,0.04147555589675903,9852,98.52,21.764107704162598
0.021544346900318843,4,8,,0.020005942590814084,0.03538047857284546,9880,98.8,21.920454025268555
0.021544346900318843,4,9,,0.015566438954478751,0.03529861583709717,9883,98.83,21.740153789520264
0.021544346900318843,4,10,,0.013325138708700736,0.03589418649673462,9878,98.78,21.84397315979004
0.0464158883361278,0,1,,0.22680160109897454,0.061397682571411136,9811,98.11,33.12704038619995
0.0464158883361278,0,2,,0.058595139044399065,0.04713796339035034,9847,98.47,21.65946078300476
0.0464158883361278,0,3,,0.0396248291687419,0.07876932563781738,9720,97.2,21.680306434631348
0.0464158883361278,0,4,,0.028569330356580516,0.039014540481567384,9865,98.65,21.99754524230957
0.0464158883361278,0,5,,0.020575809354521333,0.03619996109008789,9885,98.85,21.656830549240112
0.0464158883361278,0,6,,0.015757771604849646,0.03254614214897156,9894,98.94,21.71705913543701
0.0464158883361278,0,7,,0.011764792845382666,0.03380902206897735,9899,98.99,21.710017442703247
0.0464158883361278,0,8,,0.008663405754219275,0.02893368468284607,9909,99.09,21.708877563476562
0.0464158883361278,0,9,,0.006240537328936625,0.030994452261924745,9908,99.08,21.635897874832153
0.0464158883361278,0,10,,0.005185140613709033,0.03499743573665619,9901,99.01,21.634365558624268
0.0464158883361278,1,1,,0.2303794872979323,0.07632590732574462,9747,97.47,33.1668119430542
0.0464158883361278,1,2,,0.061800995093087355,0.06758296642303467,9779,97.79,22.003360748291016
0.0464158883361278,1,3,,0.040563694377926486,0.06353622398376464,9790,97.9,23.060291290283203
0.0464158883361278,1,4,,0.02897010453144709,0.03315731229782105,9883,98.83,22.371419191360474
0.0464158883361278,1,5,,0.02090982055639227,0.031499716472625734,9897,98.97,21.727080821990967
0.0464158883361278,1,6,,0.016318864217819647,0.03730360698699951,9887,98.87,21.622832775115967
0.0464158883361278,1,7,,0.012122960435335214,0.0419272075176239,9866,98.66,21.65409779548645
0.0464158883361278,1,8,,0.00859906125733008,0.03414799716472626,9891,98.91,22.034148931503296
0.0464158883361278,1,9,,0.006454970310176334,0.04317584133148193,9883,98.83,21.599137544631958
0.0464158883361278,1,10,,0.005323536349914502,0.04226773662567139,9877,98.77,21.986732006072998
0.0464158883361278,2,1,,0.23962789715230465,0.07895815486907959,9746,97.46,34.08639645576477
0.0464158883361278,2,2,,0.061231926527867714,0.04636726894378662,9855,98.55,21.85960340499878
0.0464158883361278,2,3,,0.03901266875161479,0.04316527099609375,9861,98.61,21.556641340255737
0.0464158883361278,2,4,,0.028909622228952745,0.03339847369194031,9892,98.92,21.67036509513855
0.0464158883361278,2,5,,0.020894021761106947,0.03545610013008118,9883,98.83,21.514972925186157
0.0464158883361278,2,6,,0.016002599567516398,0.03518912982940674,9889,98.89,21.599271535873413
0.0464158883361278,2,7,,0.012083696837785343,0.03699336886405945,9884,98.84,21.637693881988525
0.0464158883361278,2,8,,0.008629341038277684,0.036220539617538454,9893,98.93,21.71041250228882
0.0464158883361278,2,9,,0.006706128465083505,0.0317485857963562,9905,99.05,21.57920527458191
0.0464158883361278,2,10,,0.00542687637717075,0.03984758315086365,9873,98.73,21.63841700553894
0.0464158883361278,3,1,,0.22776655367116133,0.07303019371032715,9761,97.61,33.13462209701538
0.0464158883361278,3,2,,0.059885639686137436,0.05568823184967041,9811,98.11,21.634642124176025
0.0464158883361278,3,3,,0.03912047707363963,0.04473081789016724,9854,98.54,21.48577094078064
0.0464158883361278,3,4,,0.02936545807036261,0.047829963397979736,9844,98.44,21.651681423187256
0.0464158883361278,3,5,,0.02081299029396226,0.06406447219848632,9798,97.98,21.77824878692627
0.0464158883361278,3,6,,0.016002572130132467,0.0318477897644043,9895,98.95,21.664119482040405
0.0464158883361278,3,7,,0.011803853520487125,0.03894505109786987,9876,98.76,21.679787635803223
0.0464158883361278,3,8,,0.008694559779732177,0.03962401685714722,9875,98.75,21.639243841171265
0.0464158883361278,3,9,,0.00656289343839162,0.0352694727897644,9896,98.96,21.68640899658203
0.0464158883361278,3,10,,0.005110532710870999,0.04394474105834961,9873,98.73,21.679847478866577
0.0464158883361278,4,1,,0.2339386835048596,0.06968987579345703,9792,97.92,32.83185362815857
0.0464158883361278,4,2,,0.05951957748432954,0.04537322578430176,9850,98.5,21.40999984741211
0.0464158883361278,4,3,,0.03985738781367739,0.04095193910598755,9867,98.67,23.009218454360962
0.0464158883361278,4,4,,0.0283329903928563,0.04162125015258789,9866,98.66,22.171515941619873
0.0464158883361278,4,5,,0.020747775369510054,0.04139710292816162,9864,98.64,21.432379007339478
0.0464158883361278,4,6,,0.01653406543840344,0.034149019050598146,9885,98.85,21.42618227005005
0.0464158883361278,4,7,,0.011396638666264091,0.03573646788597107,9895,98.95,21.51063299179077
